School_ID,Short_Name,Grade_Cat,Lat,Long
400052,NOBLE - COMER,HS,41.76525228,-87.60416375
400157,NOBLE - BAKER HS,HS,41.73462237,-87.55620144
609674,CHICAGO VOCATIONAL HS,HS,41.73717393,-87.57326752
609676,DUNBAR HS,HS,41.84022557,-87.61763743
609692,SIMEON HS,HS,41.74578123,-87.63541037
609698,BOGAN HS,HS,41.74937561,-87.72109745
609705,FENGER HS,HS,41.68995073,-87.63757205
609710,HARLAN HS,HS,41.71837235,-87.62062344
609712,HIRSCH HS,HS,41.75374796,-87.60172727
609713,HYDE PARK HS,HS,41.78225693,-87.58661501
609725,MORGAN PARK HS,HS,41.69203501,-87.66565755
609727,PHILLIPS HS,HS,41.82387997,-87.61979635
609879,DAWES,ES,41.74507775,-87.71735342
609883,DENEEN,ES,41.76249026,-87.62334459
609753,CHICAGO AGRICULTURE HS,HS,41.69122074,-87.71776967
609754,CHICAGO MILITARY HS,HS,41.83055498,-87.61921554
609762,JULIAN HS,HS,41.70585894,-87.65374921
609786,AVALON PARK,ES,41.74824699,-87.59165381
609788,BARNARD,ES,41.70513101,-87.65807422
609805,JOPLIN,ES,41.74933916,-87.66936565
609807,HAMPTON,ES,41.75345719,-87.70873128
609808,HALEY,ES,41.68665997,-87.63363214
609813,BROWNELL,ES,41.77162036,-87.62174597
609815,BOUCHET,ES,41.76084748,-87.57607486
609821,BURNHAM,ES,41.71440206,-87.56713059
609827,BURNSIDE,ES,41.72848064,-87.60743532
609833,DAISY BATES,ES,41.73922636,-87.58072903
609837,CARNEGIE,ES,41.78336832,-87.59079501
609839,CARROLL,ES,41.74251663,-87.69601208
609861,CLISSOLD,ES,41.69302601,-87.68089679
609862,COLES,ES,41.74141281,-87.56596977
609864,COOK,ES,41.74523702,-87.65977459
609978,SMITH,ES,41.70755762,-87.60466041
609887,DIXON,ES,41.74366924,-87.60997887
609891,DOOLITTLE,ES,41.83112063,-87.61227454
609895,TURNER-DREW,ES,41.72560922,-87.63016448
609902,METCALFE,ES,41.66944402,-87.63430552
609908,ESMOND,ES,41.68941961,-87.66915867
609917,FERNWOOD,ES,41.71118362,-87.64041365
609919,FISKE,ES,41.78518282,-87.6086329
609924,FORT DEARBORN,ES,41.72967267,-87.65548116
609927,FOSTER PARK,ES,41.73842548,-87.66809931
609928,FARMER,ES,41.8180034,-87.61178404
609939,GILLESPIE,ES,41.72533228,-87.62371944
609943,OWENS,ES,41.67061754,-87.62254566
609955,GRESHAM,ES,41.73892016,-87.64502524
609977,WOODLAWN,ES,41.77336553,-87.594392
610002,HOYNE,ES,41.73333775,-87.5682281
610003,CUFFE,ES,41.74245163,-87.65363345
610019,KERSHAW,ES,41.77645281,-87.64089203
610109,OWEN,ES,41.74284992,-87.70574909
610110,WELLS ES,ES,41.82735527,-87.61977966
610112,PARKER,ES,41.7707798,-87.63408586
610115,PARK MANOR,ES,41.76647654,-87.61154559
609971,HARVARD,ES,41.75734054,-87.63273687
610027,KIPLING,ES,41.72362691,-87.63952072
610030,KOZMINSKI,ES,41.79800188,-87.60248145
610032,GREEN,ES,41.71929195,-87.65250014
610047,MADISON,ES,41.75954806,-87.5907124
610052,MANN,ES,41.74827413,-87.57481564
610065,TILL,ES,41.77542384,-87.60935721
610066,MCDADE,ES,41.73454991,-87.61921444
610086,MOUNT VERNON,ES,41.70195212,-87.64765249
610090,MURRAY,ES,41.79853549,-87.59334041
610091,BROWN R,ES,41.66487335,-87.63895773
610093,NEIL,ES,41.7384066,-87.62093346
610102,OGLESBY,ES,41.75467006,-87.6454695
610124,WASHINGTON H ES,ES,41.72853414,-87.59625662
610126,PERSHING,ES,41.83652695,-87.61833765
610128,GARVEY,ES,41.70660286,-87.64757717
610130,PIRIE,ES,41.74034023,-87.60789114
610142,RAY,ES,41.79234788,-87.59475207
610143,REAVIS,ES,41.80417379,-87.60492543
610146,REVERE,ES,41.76419587,-87.60017682
